# snapshot of the 'entries' sheet tab -- do not edit by hand
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume,in_website,pub_authors,pub_title,pub_venue,pub_year,pub_doi
education,"PhD Candidate, Cancer Biology and Genomics",University of Southern California,"Los Angeles, CA<br>",2018,2024,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
education,M.S. Translational Biotechnology,University of Southern California,"Los Angeles, CA<br>",2015,2018,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
education,B.A. Biology,University of Southern California,"Los Angeles, CA<br>",2009,2013,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
positions,Research Specialist,University of California Irvine,NA,2025,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
positions,Doctoral Researcher,University of Southern California</br>PI: David Cobrinik,NA,2018,2024,Conducted studies of retinoblastoma transcriptomics by single cell analysis. Performed bioinformatic analyses of human retinal development and retinoblastoma cancer research in the laboratory of Dr. David Cobrinik at Children's Hospital Los Angeles. Published one first-author and nine secondary author publications in which I led bioinformatics analyses.,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
positions,Technician,Children's Hospital Los Angeles</br>PI: David Cobrinik,NA,2013,2018,Conducted studies of retinoblastoma transcriptomics by single cell analysis. Performed bioinformatic analyses of human retinal development and retinoblastoma cancer research in the laboratory of Dr. David Cobrinik at Children's Hospital Los Angeles. Published one first-author and nine secondary author publications in which I led bioinformatics analyses.,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
positions,Undergraduate Research Assistant,University of Southern California</br>PI: John Tower,NA,2012,2013,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA
publications,"Stachelek, K., Harutyunyan, N., Lee, S., Beck, A., Kim, J., Xu, L., Berry, J. L., Nagiel, A., Reynolds, C. P., Murphree, A. L., Lee, T. C., Aparicio, J. G. & Cobrinik, D. Non-Synonymous, Synonymous, and Non-Coding Nucleotide Variants Contribute to Recurrently Altered Biological Processes During Retinoblastoma Progression. Genes Chromosomes Cancer (2022) doi:10.1002/gcc.23120.",10.1002/gcc.23120,NA,2022,NA,NA,NA,NA,TRUE,TRUE,"Stachelek K, Harutyunyan N, Lee S, Beck A, Kim J, Xu L, Berry JL, Nagiel A, Reynolds CP, Murphree AL, Lee TC, Aparicio JG, Cobrinik D","Non‐synonymous, synonymous, and non‐coding nucleotide variants contribute to recurrently altered biological processes during retinoblastoma progression","Genes, Chromosomes and Cancer",2022,10.1002/gcc.23120
publications,"Li, H.-T., Xu, L., Weisenberger, D. J., Li, M., Zhou, W., Peng, C.-C., Stachelek, K., Cobrinik, D., Liang, G. & Berry, J. L. Characterizing DNA methylation signatures of retinoblastoma using aqueous humor liquid biopsy. Nat Commun 13, 5523 (2022).",10.1038/s41467-022-33248-2,NA,2022,NA,NA,NA,NA,TRUE,TRUE,"Li HT, Xu L, Weisenberger DJ, Li M, Zhou W, Peng CC, Stachelek K, Cobrinik D, Liang G, Berry JL",Characterizing DNA methylation signatures of retinoblastoma using aqueous humor liquid biopsy,Nature Communications,2022,10.1038/s41467-022-33248-2
publications,"Cambier, L., Stachelek, K., Triska, M., Jubran, R., Huang, M., Li, W., Zhang, J., Li, J. & Cobrinik, D. Extracellular vesicle-associated repetitive element DNAs as candidate osteosarcoma biomarkers. Sci Rep 11, 94 (2021).",10.1038/s41598-020-77398-z,NA,2021,NA,NA,NA,NA,TRUE,TRUE,"Cambier L, Stachelek K, Triska M, Jubran R, Huang M, Li W, Zhang J, Li J, Cobrinik D",Extracellular vesicle-associated repetitive element DNAs as candidate osteosarcoma biomarkers,Scientific Reports,2021,10.1038/s41598-020-77398-z
